date,option_type,entry_time,entry_price,entry_strike,entry_spot,exit_time,exit_price,exit_strike,exit_spot,exit_reason,pnl
2026-01-01,CALL,2026-01-01 09:15:00+05:30,97.0,26200.0,26183.5,2026-01-01 09:26:00+05:30,73.05,26200.0,26152.1,Stop Loss,-23.950000000000003
2026-01-01,PUT,2026-01-01 09:16:00+05:30,87.15,26200.0,26194.3,2026-01-01 09:19:00+05:30,98.25,26200.0,26167.8,Target Hit,11.099999999999994
2026-01-01,CALL,2026-01-01 09:27:00+05:30,76.35,26200.0,26156.1,2026-01-01 09:28:00+05:30,84.45,26200.0,26176.6,Target Hit,8.100000000000009
2026-01-01,PUT,2026-01-01 09:44:00+05:30,88.4,26200.0,26181.55,2026-01-01 09:49:00+05:30,85.75,26200.0,26188.55,Stop Loss,-2.6500000000000057
2026-01-01,PUT,2026-01-01 09:51:00+05:30,84.3,26200.0,26193.95,2026-01-01 09:52:00+05:30,82.4,26200.0,26194.75,Stop Loss,-1.8999999999999915
2026-01-01,PUT,2026-01-01 09:53:00+05:30,85.45,26200.0,26187.75,2026-01-01 09:58:00+05:30,101.45,26200.0,26158.5,Target Hit,16.0
2026-01-01,CALL,2026-01-01 09:59:00+05:30,74.3,26200.0,26157.2,2026-01-01 10:12:00+05:30,70.45,26200.0,26149.45,Stop Loss,-3.8499999999999943
2026-01-01,CALL,2026-01-01 10:13:00+05:30,70.35,26200.0,26151.4,2026-01-01 10:16:00+05:30,67.75,26200.0,26141.4,Stop Loss,-2.5999999999999943
2026-01-01,CALL,2026-01-01 10:23:00+05:30,63.3,26200.0,26126.75,2026-01-01 10:29:00+05:30,72.4,26200.0,26157.35,Target Hit,9.100000000000009
2026-01-01,CALL,2026-01-01 12:09:00+05:30,61.8,26200.0,26130.0,2026-01-01 13:07:00+05:30,68.75,26200.0,26154.5,Target Hit,6.950000000000003
2026-01-01,PUT,2026-01-01 14:21:00+05:30,84.85,26200.0,26171.05,2026-01-01 15:02:00+05:30,93.55,26200.0,26149.5,Target Hit,8.700000000000003
2026-01-02,CALL,2026-01-02 09:15:00+05:30,104.65,26150.0,26171.45,2026-01-02 09:28:00+05:30,120.35,26150.0,26205.75,Target Hit,15.699999999999989
2026-01-02,PUT,2026-01-02 09:16:00+05:30,51.2,26150.0,26170.05,2026-01-02 09:20:00+05:30,48.25,26150.0,26184.6,Stop Loss,-2.950000000000003
2026-01-02,PUT,2026-01-02 09:21:00+05:30,50.0,26150.0,26184.0,2026-01-02 09:22:00+05:30,46.6,26150.0,26191.9,Stop Loss,-3.3999999999999986
2026-01-02,PUT,2026-01-02 09:24:00+05:30,45.6,26150.0,26192.45,2026-01-02 09:27:00+05:30,45.0,26150.0,26199.95,Stop Loss,-0.6000000000000014
2026-01-02,PUT,2026-01-02 09:30:00+05:30,42.9,26150.0,26201.9,2026-01-02 09:32:00+05:30,39.5,26150.0,26214.1,Stop Loss,-3.3999999999999986
2026-01-02,PUT,2026-01-02 09:33:00+05:30,40.45,26150.0,26201.55,2026-01-02 09:41:00+05:30,35.9,26150.0,26229.95,Stop Loss,-4.550000000000004
2026-01-02,PUT,2026-01-02 09:45:00+05:30,34.0,26150.0,26247.3,2026-01-02 09:48:00+05:30,33.0,26150.0,26256.25,Stop Loss,-1.0
2026-01-02,PUT,2026-01-02 09:53:00+05:30,31.35,26150.0,26262.65,2026-01-02 10:14:00+05:30,30.4,26150.0,26254.65,Stop Loss,-0.9500000000000028
2026-01-02,PUT,2026-01-02 10:16:00+05:30,30.4,26150.0,26262.85,2026-01-02 10:47:00+05:30,29.35,26150.0,26262.15,Stop Loss,-1.0499999999999972
2026-01-02,PUT,2026-01-02 10:49:00+05:30,29.55,26150.0,26261.35,2026-01-02 10:51:00+05:30,29.1,26150.0,26263.95,Stop Loss,-0.4499999999999993
2026-01-02,PUT,2026-01-02 10:52:00+05:30,29.3,26150.0,26260.35,2026-01-02 10:59:00+05:30,28.5,26150.0,26263.35,Stop Loss,-0.8000000000000007
2026-01-02,PUT,2026-01-02 11:00:00+05:30,28.85,26150.0,26261.35,2026-01-02 11:17:00+05:30,27.9,26150.0,26259.3,Stop Loss,-0.9500000000000028
2026-01-02,PUT,2026-01-02 11:19:00+05:30,27.5,26150.0,26261.55,2026-01-02 11:21:00+05:30,26.5,26150.0,26266.8,Stop Loss,-1.0
2026-01-02,PUT,2026-01-02 11:22:00+05:30,27.5,26150.0,26260.75,2026-01-02 11:25:00+05:30,26.1,26150.0,26266.8,Stop Loss,-1.3999999999999986
2026-01-02,PUT,2026-01-02 11:26:00+05:30,26.6,26150.0,26266.2,2026-01-02 11:29:00+05:30,25.4,26150.0,26273.25,Stop Loss,-1.2000000000000028
2026-01-02,PUT,2026-01-02 11:32:00+05:30,24.95,26150.0,26276.9,2026-01-02 11:34:00+05:30,24.4,26150.0,26284.55,Stop Loss,-0.5500000000000007
2026-01-02,PUT,2026-01-02 11:35:00+05:30,24.7,26150.0,26281.7,2026-01-02 11:39:00+05:30,23.9,26150.0,26284.0,Stop Loss,-0.8000000000000007
2026-01-02,PUT,2026-01-02 11:40:00+05:30,24.45,26150.0,26281.4,2026-01-02 11:53:00+05:30,23.75,26150.0,26293.1,Stop Loss,-0.6999999999999993
2026-01-02,PUT,2026-01-02 11:54:00+05:30,23.8,26150.0,26294.6,2026-01-02 12:24:00+05:30,23.15,26150.0,26295.35,Stop Loss,-0.6500000000000021
2026-01-02,PUT,2026-01-02 12:25:00+05:30,23.25,26150.0,26293.55,2026-01-02 12:32:00+05:30,22.45,26150.0,26303.6,Stop Loss,-0.8000000000000007
2026-01-02,PUT,2026-01-02 12:35:00+05:30,21.55,26150.0,26311.1,2026-01-02 13:22:00+05:30,21.15,26150.0,26308.85,Stop Loss,-0.40000000000000213
2026-01-02,PUT,2026-01-02 13:25:00+05:30,21.35,26150.0,26309.1,2026-01-02 13:53:00+05:30,21.0,26150.0,26310.05,Stop Loss,-0.3500000000000014
2026-01-02,PUT,2026-01-02 13:54:00+05:30,21.6,26150.0,26305.35,2026-01-02 14:15:00+05:30,20.65,26150.0,26304.1,Stop Loss,-0.9500000000000028
2026-01-02,PUT,2026-01-02 14:25:00+05:30,19.05,26150.0,26310.2,2026-01-02 14:33:00+05:30,21.35,26150.0,26287.0,Target Hit,2.3000000000000007
2026-01-02,PUT,2026-01-02 15:01:00+05:30,18.2,26150.0,26307.75,2026-01-02 15:09:00+05:30,17.35,26150.0,26322.6,Stop Loss,-0.8499999999999979
2026-01-02,PUT,2026-01-02 15:12:00+05:30,17.7,26150.0,26328.8,2026-01-02 15:29:00+05:30,16.25,26150.0,26335.7,EOD,-1.4499999999999993
2026-01-05,PUT,2026-01-05 09:15:00+05:30,68.25,26350.0,26327.6,2026-01-05 09:16:00+05:30,76.4,26350.0,26319.15,Target Hit,8.150000000000006
2026-01-05,CALL,2026-01-05 09:17:00+05:30,56.45,26350.0,26329.2,2026-01-05 09:20:00+05:30,48.65,26350.0,26321.15,Stop Loss,-7.800000000000004
