date,option_type,entry_time,entry_price,entry_strike,entry_spot,exit_time,exit_price,exit_strike,exit_spot,exit_reason,pnl
2026-01-01,PUT,2026-01-01 09:15:00+05:30,126.2,85400.0,85373.16,2026-01-01 09:18:00+05:30,134.2,85400.0,85382.58,Stop Loss,-7.999999999999986
2026-01-01,CALL,2026-01-01 09:16:00+05:30,119.5,85400.0,85412.75,2026-01-01 09:29:00+05:30,124.25,85400.0,85422.72,Stop Loss,-4.75
2026-01-01,PUT,2026-01-01 09:20:00+05:30,153.9,85400.0,85358.92,2026-01-01 09:22:00+05:30,162.55,85400.0,85320.99,Stop Loss,-8.650000000000006
2026-01-01,PUT,2026-01-01 09:24:00+05:30,163.05,85400.0,85316.48,2026-01-01 09:26:00+05:30,193.7,85400.0,85289.61,Stop Loss,-30.649999999999977
2026-01-01,PUT,2026-01-01 09:27:00+05:30,180.45,85400.0,85311.83,2026-01-01 10:16:00+05:30,187.35,85400.0,85280.73,Stop Loss,-6.900000000000006
2026-01-01,CALL,2026-01-01 09:31:00+05:30,100.8,85400.0,85392.78,2026-01-01 09:35:00+05:30,104.75,85400.0,85384.63,Stop Loss,-3.950000000000003
2026-01-01,CALL,2026-01-01 09:36:00+05:30,91.55,85400.0,85375.75,2026-01-01 09:40:00+05:30,95.0,85400.0,85370.18,Stop Loss,-3.450000000000003
2026-01-01,CALL,2026-01-01 09:41:00+05:30,98.55,85400.0,85397.3,2026-01-01 09:43:00+05:30,106.8,85400.0,85405.02,Stop Loss,-8.25
2026-01-01,CALL,2026-01-01 09:44:00+05:30,103.05,85400.0,85410.48,2026-01-01 09:49:00+05:30,104.55,85400.0,85419.01,Stop Loss,-1.5
2026-01-01,CALL,2026-01-01 09:50:00+05:30,112.85,85400.0,85436.46,2026-01-01 09:52:00+05:30,123.05,85400.0,85447.31,Stop Loss,-10.200000000000003
2026-01-01,CALL,2026-01-01 09:53:00+05:30,111.0,85400.0,85435.05,2026-01-01 09:54:00+05:30,111.05,85400.0,85409.51,Stop Loss,-0.04999999999999716
2026-01-01,CALL,2026-01-01 09:55:00+05:30,104.05,85400.0,85400.5,2026-01-01 15:29:00+05:30,0.05,85400.0,85172.11,EOD,104.0
2026-01-01,PUT,2026-01-01 10:17:00+05:30,188.6,85400.0,85274.17,2026-01-01 10:18:00+05:30,201.65,85400.0,85229.6,Stop Loss,-13.050000000000011
2026-01-01,PUT,2026-01-01 10:20:00+05:30,209.9,85400.0,85248.84,2026-01-01 10:21:00+05:30,232.05,85400.0,85180.58,Stop Loss,-22.150000000000006
2026-01-01,PUT,2026-01-01 10:22:00+05:30,229.9,85400.0,85183.84,2026-01-01 12:08:00+05:30,234.9,85400.0,85167.91,Stop Loss,-5.0
2026-01-01,PUT,2026-01-01 12:09:00+05:30,229.05,85400.0,85172.38,2026-01-01 12:14:00+05:30,231.8,85400.0,85181.88,Stop Loss,-2.75
2026-01-01,PUT,2026-01-01 12:16:00+05:30,248.65,85400.0,85140.04,2026-01-01 12:17:00+05:30,253.7,85400.0,85133.17,Stop Loss,-5.049999999999983
2026-01-01,PUT,2026-01-01 12:18:00+05:30,246.55,85400.0,85139.09,2026-01-01 15:29:00+05:30,210.65,85400.0,85172.11,EOD,35.900000000000006
2026-01-02,PUT,2026-01-02 09:15:00+05:30,258.45,85300.0,85284.3,2026-01-02 09:16:00+05:30,265.9,85300.0,85290.88,Stop Loss,-7.449999999999989
2026-01-02,CALL,2026-01-02 09:16:00+05:30,384.65,85300.0,85290.88,2026-01-02 09:17:00+05:30,386.0,85300.0,85303.71,Stop Loss,-1.3500000000000227
2026-01-02,CALL,2026-01-02 09:18:00+05:30,377.45,85300.0,85285.94,2026-01-02 09:19:00+05:30,384.0,85300.0,85317.67,Stop Loss,-6.550000000000011
2026-01-02,PUT,2026-01-02 09:19:00+05:30,251.2,85300.0,85317.67,2026-01-02 15:29:00+05:30,115.8,85300.0,85810.29,EOD,135.39999999999998
